"name","id","group","freq","modularity_class","text","group_size"
"Mike Braun","node_170","politician",4,6,"",124
"Mike Collins","node_161","politician",3,6,"",124
"Mike Ezell","node_82","politician",1,6,"",124
"Mike Flynn","node_273","political advisor",3,6,"",124
"Mike Lee","node_116","politician",1,6,"",124
"Mollie Ziegler Hemingway","node_353","political expert",4,3,"",48
"Monica De La Cruz","node_163","politician",1,6,"",124
"Moss Robeson","node_148","journalist",2,4,"",63
"Nancy Mace","node_192","politician",1,6,"",124
"Natylie Baldwin","node_151","journalist",2,4,"",63
"New Eastern Outlook","node_376","think tank",10,1,"y",24
"Nick Brana","node_277","political activist",11,4,"",63
"Noam Chomsky","node_60","political expert",12,2,"y",40
"Norman Solomon","node_424","journalist",3,9,"",49
"Oakland Green Party","node_348","political party",4,5,"y",21
"Omali Yeshitela","node_343","political activist",20,5,"",21
"One America News Network","node_1","media",4,1,"y",24
"Party for Socialism and Liberation","node_337","political party",6,5,"y",21
"Patrick Basham","node_254","political expert",2,2,"",40
"Patrick Henningsen","node_360","journalist",12,1,"y",24
"Patrick Lancaster","node_436","journalist",4,1,"y",24
"Paul Craig Roberts","node_19","politician",5,1,"",24
"Paul Gosar","node_40","politician",7,6,"",124
"PAX Christi USA","node_261","NGO",1,9,"",49
"Peace and Freedom Party","node_419","political party",29,5,"",21
"Peace in Ukraine Coalition","node_248","NGO",16,9,"y",49
"Penny Hess","node_371","political activist",6,5,"",21
"People's Party","node_263","political party",17,4,"y",63
"Pete Ricketts","node_395","politician",1,6,"",124
"Pete Stauber","node_213","politician",4,6,"",124
"Peter Lavelle","node_401","journalist",2,7,"",31
"Peter Thiel","node_8","businessman",12,3,"y",48
"Phyllis Bennis","node_418","political expert",2,9,"",49
"Quincy Institute for Responsible Statecraft","node_21","think tank",19,2,"y",40
"Rage Against the War Machine","node_380","NGO",33,4,"y",63
"Ralph Norman","node_92","politician",1,6,"",124
"Rand Paul","node_46","politician",7,2,"y",40
"Rashida Tlaib","node_234","politician",16,8,"",9
"Ray McGovern","node_268","political expert",10,9,"",49
"Real America's Voice","node_365","media",7,3,"y",48
"Real Clear Investigations","node_421","media",2,3,"",48
"Resist US-Led War Movement","node_262","NGO",1,9,"",49
"Responsible Statecraft","node_22","media",22,2,"y",40
"Rick Rozoff","node_331","political activist",3,7,"",31
"Rick Scott","node_396","politician",1,6,"",124
"Robby Starbuck","node_98","politician",3,3,"",48
"Robert Francis Kennedy","node_9","politician",3,1,"y",24
"Rogan O’Handley","node_301","social media influencer",1,6,"",124
"Roger Marshall","node_171","politician",4,6,"",124
"Roger Stone","node_291","political advisor",2,6,"",124
"Roger Williams","node_218","politician",3,6,"",124
"Ron DeSantis","node_7","politician",12,3,"y",48
"Ron Johnson","node_30","politician",4,6,"y",124
"Ron Paul","node_47","politician",31,4,"y",63
"Ron Paul Institute for Peace and Prosperity","node_70","think tank",6,4,"",63
"Ronny Jackson","node_125","politician",1,6,"",124
"RootsAction","node_251","NGO",6,9,"",49
"Ross Barkan","node_247","journalist",4,2,"",40
"RT","node_422","media",36,4,"y",63
"Russ Fulcher","node_178","politician",1,6,"",124
"Russell Fry","node_177","politician",8,6,"",124
"Russell Vought","node_105","politician",7,7,"y",31
"Ryan Zinke","node_219","politician",1,6,"",124
"Sarah Palin","node_400","politician",4,6,"",124
"Saving Humanity and Planet Earth","node_264","NGO",2,2,"",40
"Scott Fitzgerald","node_175","politician",9,6,"",124
"Scott Horton","node_304","journalist",8,4,"",63
"Scott Perry","node_35","politician",1,6,"",124
"Scott Ritter","node_109","security expert",13,4,"",63
"Sean McMeekin","node_377","scholar",2,7,"y",31
"Seymour Hersh","node_295","journalist",3,4,"",63
"Simona Mangiante Papadopoulos","node_113","social media influencer",4,6,"",124
"Sohrab Ahmari","node_352","journalist",6,7,"",31
"South Front","node_366","media",10,1,"y",24
"Stand Together","node_14","think tank",18,2,"y",40
"Stansfield Smith","node_149","journalist",2,4,"",63
"Stephen Gardner","node_423","social media influencer",6,4,"",63
"Stephen Kinzer","node_65","journalist",2,9,"",49
"Stephen Martin Walt","node_50","political expert",4,4,"",63
"Stephen Miller","node_120","political advisor",3,6,"",124
"Steve Bannon","node_290","political advisor",9,3,"",48
"Steve Daines","node_391","politician",1,6,"",124
"Steve Gill","node_303","journalist",1,4,"",63
"Steven Crowder","node_271","journalist",5,3,"",48
"Steven Seagal","node_255","actor",1,4,"",63
"Steven Simon","node_20","political expert",4,2,"",40
"Stewart Peters","node_73","social media influencer",2,6,"",124
"Strategic Culture Foundation","node_381","think tank",5,1,"y",24
"Sumantra Maitra","node_223","journalist",4,7,"",31
"Summer Lee","node_228","politician",16,8,"",9
"T.J. Coles","node_139","journalist",1,4,"",63
"Tara Reade","node_287","social media influencer",1,4,"",63
"Tatiana Moroz","node_278","political activist",4,4,"",63
"Ted Budd","node_387","politician",1,6,"",124
"Ted Cruz","node_390","politician",4,6,"",124
"Ted Galen Carpenter","node_42","political expert",5,2,"",40
"The African People’s Solidarity Committee","node_345","political movement",14,5,"",21
"The American Conservative","node_25","media",30,7,"",31
"the Black is Back Coalition","node_346","political movement",16,5,"",21
"The Blaze","node_309","media",5,3,"y",48
"The Burning Spear","node_342","media",17,5,"",21
"The Center for Renewing America","node_13","think tank",19,7,"y",31
"The Center for the National Interest","node_405","think tank",15,2,"y",40
"The Daily Wire","node_2","media",13,3,"y",48
"The Federalist","node_420","media",8,3,"",48
"The Grayzone","node_128","media",37,4,"y",63
"The Heritage Foundation","node_382","think tank",12,7,"y",31
"The Libertarian Institute","node_314","think tank",8,7,"",31
"The Nation","node_412","media",10,2,"",40
"The Real News Network","node_354","media",7,2,"y",40
"The Squad (United States Congress)","node_316","political movement",16,8,"y",9
"Thomas Massie","node_119","politician",2,3,"",48
"Thomas Tiffany","node_94","politician",3,6,"",124
"Tim Burchett","node_153","politician",2,6,"",124
"Tim Pool","node_298","social media influencer",2,3,"",48
"Tim Scott","node_399","politician",1,6,"",124
"Todd E. Pierce","node_324","security expert",2,9,"",49
"Tom Cotton","node_389","politician",2,6,"y",124
"Tom Luongo","node_433","economic expert",2,7,"",31
"Tommy Tuberville","node_222","politician",4,6,"",124
"Trita Parsi","node_23","political expert",4,2,"",40
"Troy Nehls","node_76","politician",1,6,"",124
"Tucker Carlson","node_26","journalist",35,3,"y",48
"Tulsi Gabbard","node_239","politician",15,4,"",63
"Turning Point USA","node_283","NGO",15,3,"y",48
"Tyler Koteskey","node_359","political expert",4,2,"",40
"Uhuru Movement","node_344","political movement",13,5,"",21
"Uncaptured Media","node_274","media",2,4,"",63
"United for Peace and Justice","node_265","NGO",1,9,"",49
"Unlimited Hangout","node_431","media",2,4,"",63
"Veterans For Peace","node_252","NGO",12,9,"y",49
"Veterans Today","node_362","media",13,1,"y",24
"Vijay Prashad","node_289","political expert",2,2,"",40
"Vivek Ramaswamy","node_17","politician",9,3,"y",48
"Wade Miller","node_106","political expert",2,7,"",31
"Walt Zlotow","node_358","social media influencer",4,7,"",31
"Warren Davidson","node_127","politician",1,6,"",124
"Wendy Rogers","node_39","politician",2,6,"",124
"Wesley Hunt","node_186","politician",1,6,"",124
"William Binney","node_269","security expert",2,9,"",49
"William J. Astore","node_320","security expert",2,9,"",49
"William P. Ruger","node_54","political expert",3,2,"",40
"William Timmons","node_216","politician",1,6,"",124
"Winslow Wheeler","node_328","security expert",4,9,"",49
"Women Against Military Madness","node_266","NGO",1,9,"",49
"Women Transforming our Nuclear Legacy","node_267","NGO",4,2,"",40
"World Beyond War","node_68","NGO",15,9,"y",49
"Wyatt Reed","node_221","journalist",6,4,"",63
"Yasha Levine","node_152","journalist",2,4,"",63
"Zach Farber","node_336","political activist",3,5,"",21
"Zachary Nunn","node_203","politician",2,6,"",124
"ZeroHedge","node_425","media",3,1,"",24
